Time since reset,Log Time,Air Temp,Water Height,Flow Rate,Accumulated Flow
milliseconds, ,farenheit,inches,CFS,acre feet
20247, 5/24/2014 17:7:50,78.01,-16.02,0.00,0.00
917962, 5/24/2014 17:22:50,76.10,-15.94,0.00,0.00
1817950, 5/24/2014 17:37:52,75.09,-15.94,0.00,0.00
2718204, 5/24/2014 17:52:54,74.30,-15.92,0.00,0.00
3618192, 5/24/2014 18:7:56,73.51,-15.97,0.00,0.00
4518447, 5/24/2014 18:22:59,72.05,-15.88,0.00,0.00
5418434, 5/24/2014 18:38:1,70.93,-15.94,0.00,0.00
6318698, 5/24/2014 18:53:4,69.24,-15.94,0.00,0.00
7218693, 5/24/2014 19:8:6,67.44,-15.90,0.00,0.00
8118949, 5/24/2014 19:23:8,65.86,-15.89,0.00,0.00
9018940, 5/24/2014 19:38:10,63.28,-15.90,0.00,0.00
9919199, 5/24/2014 19:53:13,61.03,-15.91,0.00,0.00
10819191, 5/24/2014 20:8:15,59.00,-15.92,0.00,0.00
11719451, 5/24/2014 20:23:18,56.97,-15.90,0.00,0.00
12619442, 5/24/2014 20:38:20,54.39,-15.87,0.00,0.00
13519702, 5/24/2014 20:53:22,54.61,-15.79,0.00,0.00
14419693, 5/24/2014 21:8:24,56.53,-15.80,0.00,0.00
15319952, 5/24/2014 21:23:27,57.65,-15.74,0.00,0.00
16219951, 5/24/2014 21:38:29,55.63,-15.84,0.00,0.00
17120211, 5/24/2014 21:53:31,54.16,-15.89,0.00,0.00
18020206, 5/24/2014 22:8:33,52.25,-15.88,0.00,0.00
18920468, 5/24/2014 22:23:36,50.00,-15.89,0.00,0.00
19820462, 5/24/2014 22:38:38,50.22,-15.81,0.00,0.00
20720723, 5/24/2014 22:53:40,49.78,-15.79,0.00,0.00
21620715, 5/24/2014 23:8:42,49.21,-15.81,0.00,0.00
22520977, 5/24/2014 23:23:45,48.88,-15.83,0.00,0.00
23420973, 5/24/2014 23:38:47,47.97,-15.82,0.00,0.00
24321235, 5/24/2014 23:53:49,47.53,-15.85,0.00,0.00
25221236, 5/25/2014 0:8:51,47.64,-15.84,0.00,0.00
26121499, 5/25/2014 0:23:54,46.63,-15.81,0.00,0.00
27021492, 5/25/2014 0:38:56,45.95,-15.82,0.00,0.00
27921756, 5/25/2014 0:53:58,45.72,-15.85,0.00,0.00
28821752, 5/25/2014 1:9:0,44.71,-15.90,0.00,0.00
29722016, 5/25/2014 1:24:3,44.15,-15.85,0.00,0.00
30622010, 5/25/2014 1:39:5,43.25,-15.89,0.00,0.00
31522275, 5/25/2014 1:54:7,42.58,-15.89,0.00,0.00
32422267, 5/25/2014 2:9:9,43.47,-15.68,0.00,0.00
33322531, 5/25/2014 2:24:12,44.15,-15.80,0.00,0.00
34222532, 5/25/2014 2:39:14,44.60,-15.82,0.00,0.00
35122796, 5/25/2014 2:54:16,43.70,-15.84,0.00,0.00
36022801, 5/25/2014 3:9:18,42.69,-15.84,0.00,0.00
36923064, 5/25/2014 3:24:20,42.46,-15.78,0.00,0.00
37823060, 5/25/2014 3:39:23,42.46,-15.82,0.00,0.00
38723325, 5/25/2014 3:54:25,41.45,-15.81,0.00,0.00
39623322, 5/25/2014 4:9:27,42.35,-15.81,0.00,0.00
40523584, 5/25/2014 4:24:29,42.46,-15.83,0.00,0.00
41423578, 5/25/2014 4:39:31,42.13,-15.87,0.00,0.00
42323843, 5/25/2014 4:54:34,42.35,-15.81,0.00,0.00
43223844, 5/25/2014 5:9:36,41.90,-15.78,0.00,0.00
44123865, 5/25/2014 5:24:38,42.24,-15.78,0.00,0.00
45023861, 5/25/2014 5:39:40,42.80,-15.83,0.00,0.00
45924123, 5/25/2014 5:54:43,42.69,-15.85,0.00,0.00
46824120, 5/25/2014 6:9:45,43.14,-15.82,0.00,0.00
47724383, 5/25/2014 6:24:47,44.38,-15.82,0.00,0.00
48624379, 5/25/2014 6:39:49,45.39,-15.81,0.00,0.00
