Time since reset, Log Time, Air Temp, Inlet Depth, Throat Depth, Submergence, Flow Rate, Accumulated Flow
23315, 6/24/2015 19:33:30,75.09,0.95,-1.10,0.00,0.00,0.00
921143, 6/24/2015 19:48:28,73.74,4.45,3.96,0.89,0.18,0.00
1821248, 6/24/2015 20:3:29,73.06,5.07,4.36,0.86,0.25,0.01
2721331, 6/24/2015 20:18:29,72.16,5.56,5.28,0.95,0.19,0.01
3621426, 6/24/2015 20:33:29,69.57,6.10,5.72,0.94,0.23,0.02
4521503, 6/24/2015 20:48:30,66.99,6.52,6.14,0.94,0.25,0.02
5421591, 6/24/2015 21:3:30,65.97,6.96,6.55,0.94,0.28,0.03
6321686, 6/24/2015 21:18:30,64.85,7.15,6.51,0.91,0.35,0.04
7221783, 6/24/2015 21:33:30,64.51,7.38,6.59,0.89,0.39,0.04
8121850, 6/24/2015 21:48:31,64.06,7.53,7.33,0.97,0.22,0.05
9021934, 6/24/2015 22:3:31,63.84,7.53,7.05,0.94,0.33,0.06
9921894, 6/24/2015 22:18:31,62.38,7.59,31.06,0.94,0.00,0.06
10822119, 6/24/2015 22:33:32,62.04,7.74,31.06,0.94,0.00,0.06
11722329, 6/24/2015 22:48:32,61.36,7.74,31.06,0.94,0.00,0.06
12622554, 6/24/2015 23:3:32,60.91,7.84,31.06,0.94,0.00,0.06
13525151, 6/24/2015 23:18:35,61.25,7.94,31.06,0.94,0.00,0.06
14422885, 6/24/2015 23:33:33,59.45,7.85,31.06,0.94,0.00,0.06
15323095, 6/24/2015 23:48:33,59.00,7.87,31.06,0.94,0.00,0.06
16223320, 6/25/2015 0:3:34,58.33,7.89,31.06,0.94,0.00,0.06
17123528, 6/25/2015 0:18:34,57.76,7.90,31.06,0.94,0.00,0.06
18023753, 6/25/2015 0:33:34,58.10,7.89,31.06,0.94,0.00,0.06
18923963, 6/25/2015 0:48:35,56.64,7.90,31.06,0.94,0.00,0.06
19824188, 6/25/2015 1:3:35,56.75,7.86,31.06,0.94,0.00,0.06
20724397, 6/25/2015 1:18:35,56.75,7.92,31.06,0.94,0.00,0.06
21624643, 6/25/2015 1:33:36,56.64,7.97,31.06,0.94,0.00,0.06
22524853, 6/25/2015 1:48:36,56.53,7.85,31.06,0.94,0.00,0.06
23425078, 6/25/2015 2:3:37,54.95,7.94,31.06,0.94,0.00,0.06
24325287, 6/25/2015 2:18:37,55.63,7.87,31.06,0.94,0.00,0.06
25225522, 6/25/2015 2:33:37,55.51,7.90,31.06,0.94,0.00,0.06
26125731, 6/25/2015 2:48:38,54.84,7.85,31.06,0.94,0.00,0.06
27025956, 6/25/2015 3:3:38,54.61,7.81,31.06,0.94,0.00,0.06
27926167, 6/25/2015 3:18:38,54.84,7.86,31.06,0.94,0.00,0.06
28826392, 6/25/2015 3:33:39,54.72,7.82,31.06,0.94,0.00,0.06
29726613, 6/25/2015 3:48:39,54.72,7.85,31.06,0.94,0.00,0.06
30626838, 6/25/2015 4:3:39,54.28,7.82,31.06,0.94,0.00,0.06
31527048, 6/25/2015 4:18:40,54.05,7.82,31.06,0.94,0.00,0.06
32427274, 6/25/2015 4:33:40,53.49,7.82,31.06,0.94,0.00,0.06
33327483, 6/25/2015 4:48:40,53.15,7.88,31.06,0.94,0.00,0.06
34227708, 6/25/2015 5:3:41,53.38,7.84,31.06,0.94,0.00,0.06
35127918, 6/25/2015 5:18:41,53.71,7.85,31.06,0.94,0.00,0.06
36028143, 6/25/2015 5:33:41,52.47,7.87,31.06,0.94,0.00,0.06
36928376, 6/25/2015 5:48:42,53.49,7.84,31.06,0.94,0.00,0.06
37828601, 6/25/2015 6:3:42,58.66,7.76,31.06,0.94,0.00,0.06
38728811, 6/25/2015 6:18:42,57.76,7.82,31.06,0.94,0.00,0.06
39629035, 6/25/2015 6:33:43,60.13,7.82,31.06,0.94,0.00,0.06
40529245, 6/25/2015 6:48:43,60.35,7.88,31.06,0.94,0.00,0.06
41429469, 6/25/2015 7:3:44,61.14,7.89,31.06,0.94,0.00,0.06
42329688, 6/25/2015 7:18:44,62.49,7.90,31.06,0.94,0.00,0.06
43230017, 6/25/2015 7:33:45,64.18,7.89,7.66,0.97,0.25,0.06
44130093, 6/25/2015 7:48:46,65.41,7.92,7.54,0.95,0.31,0.07
45030172, 6/25/2015 8:3:46,66.54,7.82,7.69,0.98,0.19,0.07
45930235, 6/25/2015 8:18:47,68.90,7.86,7.57,0.96,0.28,0.08
46830316, 6/25/2015 8:33:47,68.90,7.89,7.30,0.92,0.38,0.08
47730382, 6/25/2015 8:48:48,70.14,7.75,7.13,0.92,0.38,0.09
48630464, 6/25/2015 9:3:48,70.47,7.72,6.87,0.89,0.43,0.10
49530530, 6/25/2015 9:18:49,71.04,7.76,7.06,0.91,0.40,0.11
50430612, 6/25/2015 9:33:49,71.26,7.76,7.09,0.91,0.39,0.12
51330677, 6/25/2015 9:48:50,71.82,7.74,7.25,0.94,0.34,0.12
52230779, 6/25/2015 10:3:50,72.61,7.74,7.28,0.94,0.33,0.13
53130845, 6/25/2015 10:18:51,73.85,7.74,7.29,0.94,0.33,0.14
54030924, 6/25/2015 10:33:51,74.07,7.75,7.33,0.95,0.32,0.14
54930989, 6/25/2015 10:48:52,75.43,7.76,7.34,0.95,0.32,0.15
55831064, 6/25/2015 11:3:52,75.54,7.75,7.93,0.95,0.00,0.15
56731128, 6/25/2015 11:18:52,77.11,7.72,7.30,0.95,0.32,0.16
57631204, 6/25/2015 11:33:53,78.80,7.72,7.78,0.95,0.00,0.16
58531264, 6/25/2015 11:48:53,78.91,7.72,7.86,0.95,0.00,0.16
59431364, 6/25/2015 12:3:54,79.81,7.71,7.18,0.93,0.35,0.16
60331428, 6/25/2015 12:18:54,80.94,7.67,7.15,0.93,0.34,0.17
61231504, 6/25/2015 12:33:55,81.39,7.72,7.77,0.93,0.00,0.17
62131564, 6/25/2015 12:48:55,81.72,7.70,7.77,0.93,0.00,0.17
63031640, 6/25/2015 13:3:56,81.95,7.72,7.80,0.93,0.00,0.17
63931700, 6/25/2015 13:18:56,82.51,7.63,7.75,0.93,0.00,0.17
64831775, 6/25/2015 13:33:56,83.86,7.62,7.76,0.93,0.00,0.17
65731835, 6/25/2015 13:48:57,83.64,7.71,7.78,0.93,0.00,0.17
66631910, 6/25/2015 14:3:57,83.52,7.69,7.71,0.93,0.00,0.17
67531993, 6/25/2015 14:18:58,83.19,7.67,7.76,0.93,0.00,0.17
68432068, 6/25/2015 14:33:58,83.19,7.65,7.75,0.93,0.00,0.17
69332128, 6/25/2015 14:48:58,83.64,7.68,7.75,0.93,0.00,0.17
70232204, 6/25/2015 15:3:59,84.20,7.66,7.75,0.93,0.00,0.17
71132263, 6/25/2015 15:18:59,83.97,7.68,7.79,0.93,0.00,0.17
72032338, 6/25/2015 15:34:0,84.31,7.68,7.72,0.93,0.00,0.17
72932399, 6/25/2015 15:49:0,83.75,7.65,7.79,0.93,0.00,0.17
73832473, 6/25/2015 16:4:0,83.30,7.69,7.77,0.93,0.00,0.17
74732545, 6/25/2015 16:19:1,83.64,7.66,7.78,0.93,0.00,0.17
75632620, 6/25/2015 16:34:1,84.09,7.67,7.70,0.93,0.00,0.17
76532680, 6/25/2015 16:49:2,84.09,7.65,7.70,0.93,0.00,0.17
77432765, 6/25/2015 17:4:2,83.64,7.63,7.70,0.93,0.00,0.17
78332826, 6/25/2015 17:19:2,83.64,7.61,7.64,0.93,0.00,0.17
79232903, 6/25/2015 17:34:3,84.31,7.60,7.59,1.00,0.06,0.17
80132964, 6/25/2015 17:49:3,84.65,7.56,7.65,1.00,0.00,0.17
81033039, 6/25/2015 18:4:3,84.54,7.57,7.58,1.00,0.00,0.17
81933101, 6/25/2015 18:19:4,85.10,7.55,7.55,1.00,0.00,0.17
82833209, 6/25/2015 18:34:4,84.43,7.54,7.58,1.00,0.00,0.17
83733271, 6/25/2015 18:49:5,83.97,7.59,7.58,1.00,0.06,0.17
84633348, 6/25/2015 19:4:5,84.20,7.57,7.60,1.00,0.00,0.17
85533411, 6/25/2015 19:19:5,85.10,7.54,7.49,0.99,0.12,0.18
86433488, 6/25/2015 19:34:6,84.31,7.45,7.54,0.99,0.00,0.18
87333551, 6/25/2015 19:49:6,83.30,7.51,7.53,0.99,0.00,0.18
88233629, 6/25/2015 20:4:7,81.05,7.58,7.51,0.99,0.14,0.18
89133696, 6/25/2015 20:19:7,79.14,7.56,6.91,0.91,0.37,0.19
90033789, 6/25/2015 20:34:7,78.35,7.61,6.94,0.91,0.38,0.19
90933856, 6/25/2015 20:49:8,77.90,7.57,6.91,0.91,0.37,0.20
91833939, 6/25/2015 21:4:8,74.64,7.49,6.74,0.90,0.39,0.21
92734008, 6/25/2015 21:19:8,73.51,7.52,6.88,0.91,0.37,0.22
93634089, 6/25/2015 21:34:9,72.61,7.71,7.10,0.92,0.37,0.23
94534157, 6/25/2015 21:49:9,77.11,7.61,6.79,0.89,0.41,0.23
95434249, 6/25/2015 22:4:9,71.26,7.53,7.27,0.97,0.25,0.24
96334316, 6/25/2015 22:19:10,70.02,7.46,7.39,0.99,0.13,0.24
97234399, 6/25/2015 22:34:10,69.46,7.54,7.26,0.96,0.26,0.25
98134491, 6/25/2015 22:49:10,68.90,7.43,7.08,0.95,0.28,0.25
99034575, 6/25/2015 23:4:11,68.11,7.38,6.89,0.93,0.32,0.26
99934646, 6/25/2015 23:19:11,66.09,7.47,6.74,0.90,0.39,0.27
100834733, 6/25/2015 23:34:11,65.64,7.32,6.71,0.92,0.35,0.28
101734803, 6/25/2015 23:49:11,65.19,7.35,6.88,0.94,0.32,0.28
102634870, 6/26/2015 0:4:12,64.74,7.42,10.92,0.94,0.00,0.28
103534942, 6/26/2015 0:19:12,64.40,7.36,6.67,0.91,0.37,0.29
104434961, 6/26/2015 0:34:12,63.95,7.41,21.54,0.91,0.00,0.29
105335004, 6/26/2015 0:49:12,63.84,7.33,15.76,0.91,0.00,0.29
106234980, 6/26/2015 1:4:12,63.28,7.41,31.06,0.91,0.00,0.29
107135192, 6/26/2015 1:19:13,62.94,7.42,31.06,0.91,0.00,0.29
108035526, 6/26/2015 1:34:13,67.44,7.42,6.91,0.93,0.33,0.30
108935598, 6/26/2015 1:49:14,64.62,7.54,6.71,0.89,0.41,0.30
109835682, 6/26/2015 2:4:14,63.84,7.43,7.03,0.95,0.29,0.31
110735643, 6/26/2015 2:19:14,63.72,7.37,31.06,0.95,0.00,0.31
111637064, 6/26/2015 2:34:16,63.50,7.43,31.06,0.95,0.00,0.31
112536026, 6/26/2015 2:49:15,62.49,7.39,31.06,0.95,0.00,0.31
113436275, 6/26/2015 3:4:15,61.93,7.50,31.06,0.95,0.00,0.31
114336496, 6/26/2015 3:19:16,61.47,7.49,31.06,0.95,0.00,0.31
115237917, 6/26/2015 3:34:17,62.38,7.47,31.06,0.95,0.00,0.31
116136879, 6/26/2015 3:49:16,61.03,7.34,31.06,0.95,0.00,0.31
117037106, 6/26/2015 4:4:17,59.68,7.35,31.06,0.95,0.00,0.31
117937317, 6/26/2015 4:19:17,59.45,7.43,31.06,0.95,0.00,0.31
118839933, 6/26/2015 4:34:20,59.34,7.38,31.06,0.95,0.00,0.31
119737645, 6/26/2015 4:49:18,58.78,7.35,31.06,0.95,0.00,0.31
120637884, 6/26/2015 5:4:18,57.99,7.37,31.06,0.95,0.00,0.31
121538097, 6/26/2015 5:19:19,57.54,7.34,31.06,0.95,0.00,0.31
122438324, 6/26/2015 5:34:19,58.33,7.46,31.06,0.95,0.00,0.31
123338535, 6/26/2015 5:49:19,58.66,7.42,31.06,0.95,0.00,0.31
124238764, 6/26/2015 6:4:20,61.03,7.26,31.06,0.95,0.00,0.31
125138975, 6/26/2015 6:19:20,62.60,7.29,31.06,0.95,0.00,0.31
126039202, 6/26/2015 6:34:21,62.83,7.38,31.06,0.95,0.00,0.31
126939414, 6/26/2015 6:49:21,63.16,7.40,31.06,0.95,0.00,0.31
127839761, 6/26/2015 7:4:22,64.85,7.36,7.35,1.00,0.06,0.31
128739841, 6/26/2015 7:19:22,66.09,7.43,7.08,0.95,0.28,0.32
129639925, 6/26/2015 7:34:23,68.00,7.40,7.07,0.96,0.27,0.32
130539994, 6/26/2015 7:49:23,69.46,7.46,6.90,0.93,0.34,0.33
131440079, 6/26/2015 8:4:24,71.37,7.40,6.71,0.91,0.37,0.34
132340158, 6/26/2015 8:19:24,72.72,7.48,6.60,0.88,0.42,0.35
133240244, 6/26/2015 8:34:25,74.07,7.38,6.59,0.89,0.39,0.36
134140313, 6/26/2015 8:49:25,74.64,7.41,6.54,0.88,0.41,0.36
135040398, 6/26/2015 9:4:26,75.76,7.41,6.62,0.89,0.40,0.37
135940476, 6/26/2015 9:19:26,76.44,7.37,7.33,0.99,0.10,0.37
136840559, 6/26/2015 9:34:27,76.89,7.42,6.87,0.92,0.34,0.38
137740624, 6/26/2015 9:49:27,77.56,7.44,7.41,1.00,0.09,0.38
138640705, 6/26/2015 10:4:28,78.57,7.45,7.43,1.00,0.09,0.38
139540769, 6/26/2015 10:19:28,79.36,7.45,7.42,1.00,0.09,0.39
140440849, 6/26/2015 10:34:29,80.15,7.39,7.39,1.00,0.00,0.39
141340914, 6/26/2015 10:49:29,81.05,7.41,7.40,1.00,0.06,0.39
142240993, 6/26/2015 11:4:30,81.95,7.38,7.42,1.00,0.00,0.39
143141070, 6/26/2015 11:19:30,82.85,7.43,7.30,0.98,0.17,0.39
144041161, 6/26/2015 11:34:31,84.20,7.35,7.26,0.99,0.15,0.39
144941227, 6/26/2015 11:49:31,85.66,7.38,7.28,0.99,0.15,0.40
145841305, 6/26/2015 12:4:32,85.89,7.32,7.36,0.99,0.00,0.40
146741368, 6/26/2015 12:19:32,86.90,7.27,7.38,0.99,0.00,0.40
147641447, 6/26/2015 12:34:33,87.57,7.31,7.35,0.99,0.00,0.40
148541510, 6/26/2015 12:49:33,88.14,7.27,7.33,0.99,0.00,0.40
149441588, 6/26/2015 13:4:33,89.49,7.23,7.37,0.99,0.00,0.40
150341662, 6/26/2015 13:19:34,90.39,7.34,7.39,0.99,0.00,0.40
151241750, 6/26/2015 13:34:34,90.27,7.31,7.33,0.99,0.00,0.40
152141813, 6/26/2015 13:49:35,91.40,7.34,7.32,1.00,0.09,0.40
153041893, 6/26/2015 14:4:35,90.72,7.33,7.21,0.98,0.17,0.40
153941957, 6/26/2015 14:19:36,89.60,7.31,7.27,0.99,0.10,0.41
154842036, 6/26/2015 14:34:36,90.39,7.23,7.28,0.99,0.00,0.41
155742098, 6/26/2015 14:49:37,91.18,7.31,7.45,0.99,0.00,0.41
156642176, 6/26/2015 15:4:37,92.19,7.26,7.31,0.99,0.00,0.41
157542240, 6/26/2015 15:19:38,90.05,7.24,7.24,0.99,0.00,0.41
158442331, 6/26/2015 15:34:38,88.93,7.21,7.23,0.99,0.00,0.41
159342406, 6/26/2015 15:49:39,90.72,7.30,7.28,1.00,0.09,0.41
160242486, 6/26/2015 16:4:39,90.39,7.23,7.19,0.99,0.10,0.41
161142551, 6/26/2015 16:19:39,91.06,7.18,7.12,0.99,0.13,0.41
162042632, 6/26/2015 16:34:40,90.05,7.25,7.14,0.98,0.16,0.41
162942696, 6/26/2015 16:49:40,89.94,7.29,7.21,0.99,0.14,0.42
163842775, 6/26/2015 17:4:41,89.60,7.25,7.25,0.99,0.00,0.42
164742840, 6/26/2015 17:19:41,88.70,7.21,7.16,0.99,0.12,0.42
165642931, 6/26/2015 17:34:41,89.26,7.25,7.27,0.99,0.00,0.42
166542997, 6/26/2015 17:49:42,89.37,7.18,7.04,0.98,0.18,0.42
167443079, 6/26/2015 18:4:42,87.46,7.03,6.95,0.99,0.14,0.43
168343143, 6/26/2015 18:19:43,88.14,7.35,7.29,0.99,0.12,0.43
169243250, 6/26/2015 18:34:43,87.12,7.30,7.19,0.98,0.16,0.43
170143314, 6/26/2015 18:49:44,86.45,7.25,7.28,0.98,0.00,0.43
171043393, 6/26/2015 19:4:44,87.12,7.26,7.29,0.98,0.00,0.43
171943461, 6/26/2015 19:19:44,80.37,7.25,6.81,0.94,0.30,0.44
172843557, 6/26/2015 19:34:45,78.46,7.27,6.87,0.95,0.29,0.44
173743625, 6/26/2015 19:49:45,80.82,7.31,6.86,0.94,0.31,0.45
174643720, 6/26/2015 20:4:45,82.62,7.36,6.70,0.91,0.36,0.46
175543788, 6/26/2015 20:19:46,80.94,7.36,6.74,0.92,0.35,0.47
176443871, 6/26/2015 20:34:46,79.93,7.36,6.90,0.94,0.31,0.47
177343938, 6/26/2015 20:49:47,77.56,7.35,6.92,0.94,0.30,0.48
178244022, 6/26/2015 21:4:47,76.32,7.36,6.92,0.94,0.30,0.48
179144090, 6/26/2015 21:19:47,75.09,7.37,6.96,0.94,0.30,0.49
180044174, 6/26/2015 21:34:48,75.31,7.35,6.79,0.92,0.34,0.50
180944254, 6/26/2015 21:49:48,74.52,7.37,6.97,0.95,0.29,0.50
181844338, 6/26/2015 22:4:48,73.96,7.42,6.85,0.92,0.35,0.51
182744407, 6/26/2015 22:19:49,73.74,7.37,6.91,0.94,0.31,0.52
183644493, 6/26/2015 22:34:49,71.49,7.32,6.65,0.91,0.36,0.53
184544565, 6/26/2015 22:49:49,70.36,7.23,6.56,0.91,0.36,0.53
185444652, 6/26/2015 23:4:50,68.68,7.33,6.49,0.89,0.40,0.54
186344723, 6/26/2015 23:19:50,70.25,7.32,6.61,0.90,0.37,0.55
187244810, 6/26/2015 23:34:50,68.79,7.30,6.45,0.88,0.40,0.56
188144904, 6/26/2015 23:49:51,69.91,7.26,6.55,0.90,0.37,0.56
189044990, 6/27/2015 0:4:51,69.57,7.21,6.53,0.91,0.36,0.57
189945074, 6/27/2015 0:19:51,69.57,7.14,6.55,0.92,0.34,0.58
190845161, 6/27/2015 0:34:51,69.01,7.25,6.53,0.90,0.37,0.59
191745232, 6/27/2015 0:49:52,70.25,7.33,6.55,0.89,0.39,0.59
192645319, 6/27/2015 1:4:52,69.91,7.33,6.49,0.89,0.40,0.60
193545391, 6/27/2015 1:19:52,69.12,7.32,6.56,0.90,0.38,0.61
194445475, 6/27/2015 1:34:53,69.01,7.24,7.02,0.97,0.22,0.62
195345558, 6/27/2015 1:49:53,66.76,7.22,7.05,0.98,0.20,0.62
196245644, 6/27/2015 2:4:53,66.54,7.24,6.94,0.96,0.25,0.62
197145714, 6/27/2015 2:19:54,63.95,7.23,7.03,0.97,0.21,0.63
198045801, 6/27/2015 2:34:54,65.19,7.17,6.75,0.94,0.29,0.63
198945872, 6/27/2015 2:49:54,63.95,7.19,7.03,0.98,0.19,0.64
199845850, 6/27/2015 3:4:54,63.84,7.17,31.06,0.98,0.00,0.64
200746062, 6/27/2015 3:19:55,63.28,7.21,31.06,0.98,0.00,0.64
201646290, 6/27/2015 3:34:55,63.28,7.17,31.06,0.98,0.00,0.64
202546503, 6/27/2015 3:49:56,63.16,7.20,31.06,0.98,0.00,0.64
203446744, 6/27/2015 4:4:56,62.60,7.13,31.06,0.98,0.00,0.64
204346956, 6/27/2015 4:19:56,61.93,7.09,31.06,0.98,0.00,0.64
205248390, 6/27/2015 4:34:58,62.26,7.17,31.06,0.98,0.00,0.64
206147361, 6/27/2015 4:49:57,61.93,7.13,31.06,0.98,0.00,0.64
207048783, 6/27/2015 5:4:59,61.93,7.16,31.06,0.98,0.00,0.64
207947746, 6/27/2015 5:19:58,61.70,7.15,31.06,0.98,0.00,0.64
208847975, 6/27/2015 5:34:58,61.70,7.00,31.06,0.98,0.00,0.64
